"symbol","date","close"
"MXN=X",2012-01-02,13.909
"CL=F",2012-01-03,102.959999
"MXN=X",2012-01-03,13.6461
"CL=F",2012-01-04,103.220001
"MXN=X",2012-01-04,13.69
"CL=F",2012-01-05,101.809998
"MXN=X",2012-01-05,13.747
"CL=F",2012-01-06,101.559998
"MXN=X",2012-01-06,13.721
"CL=F",2012-01-08,NA
"CL=F",2012-01-09,101.309998
"MXN=X",2012-01-09,13.6922
"CL=F",2012-01-10,102.239998
"MXN=X",2012-01-10,13.6271
"CL=F",2012-01-11,100.870003
"MXN=X",2012-01-11,13.593
"CL=F",2012-01-12,99.099998
"MXN=X",2012-01-12,13.5233
"CL=F",2012-01-13,98.699997
"MXN=X",2012-01-13,13.587
"CL=F",2012-01-15,NA
"MXN=X",2012-01-16,13.5407
"CL=F",2012-01-17,100.709999
"MXN=X",2012-01-17,13.4194
"CL=F",2012-01-18,100.589996
"MXN=X",2012-01-18,13.3085
"CL=F",2012-01-19,100.389999
"MXN=X",2012-01-19,13.228
"CL=F",2012-01-20,98.459999
"MXN=X",2012-01-20,13.172
"CL=F",2012-01-22,NA
"CL=F",2012-01-23,99.580002
"MXN=X",2012-01-23,13.146
"CL=F",2012-01-24,98.949997
"MXN=X",2012-01-24,13.095
"CL=F",2012-01-25,99.400002
"MXN=X",2012-01-25,13.019
"CL=F",2012-01-26,99.699997
"MXN=X",2012-01-26,12.9801
"CL=F",2012-01-27,99.559998
"MXN=X",2012-01-27,12.906
"CL=F",2012-01-29,NA
"CL=F",2012-01-30,98.779999
"MXN=X",2012-01-30,12.9623
"CL=F",2012-01-31,98.480003
"MXN=X",2012-01-31,13.048
"CL=F",2012-02-01,97.610001
"MXN=X",2012-02-01,12.8794
"CL=F",2012-02-02,96.360001
"MXN=X",2012-02-02,12.7854
"CL=F",2012-02-03,97.839996
"MXN=X",2012-02-03,12.6528
"CL=F",2012-02-05,NA
"CL=F",2012-02-06,96.910004
"MXN=X",2012-02-06,12.6578
"CL=F",2012-02-07,98.410004
"MXN=X",2012-02-07,12.6668
"CL=F",2012-02-08,98.709999
"MXN=X",2012-02-08,12.7135
"CL=F",2012-02-09,99.839996
"MXN=X",2012-02-09,12.676
"CL=F",2012-02-10,98.669998
"MXN=X",2012-02-10,12.789
"CL=F",2012-02-12,NA
"CL=F",2012-02-13,100.910004
"MXN=X",2012-02-13,12.731
"CL=F",2012-02-14,100.739998
"MXN=X",2012-02-14,12.749
"CL=F",2012-02-15,101.800003
"MXN=X",2012-02-15,12.876
"CL=F",2012-02-16,102.309998
"MXN=X",2012-02-16,12.8023
"CL=F",2012-02-17,103.239998
"MXN=X",2012-02-17,12.7402
"CL=F",2012-02-19,NA
"MXN=X",2012-02-20,12.7325
"CL=F",2012-02-21,105.839996
"MXN=X",2012-02-21,12.7877
"CL=F",2012-02-22,106.279999
"MXN=X",2012-02-22,12.8448
"CL=F",2012-02-23,107.830002
"MXN=X",2012-02-23,12.8209
"CL=F",2012-02-24,109.769997
"MXN=X",2012-02-24,12.8989
"CL=F",2012-02-26,NA
"CL=F",2012-02-27,108.559998
"MXN=X",2012-02-27,12.872
"CL=F",2012-02-28,106.550003
"MXN=X",2012-02-28,12.8295
"CL=F",2012-02-29,107.07
"MXN=X",2012-02-29,12.852
"CL=F",2012-03-01,108.839996
"MXN=X",2012-03-01,12.724
"CL=F",2012-03-02,106.699997
"MXN=X",2012-03-02,12.7414
"CL=F",2012-03-04,NA
"CL=F",2012-03-05,106.720001
"MXN=X",2012-03-05,12.8255
"CL=F",2012-03-06,104.699997
"MXN=X",2012-03-06,12.9927
"CL=F",2012-03-07,106.160004
"MXN=X",2012-03-07,12.8847
"CL=F",2012-03-08,106.580002
"MXN=X",2012-03-08,12.6764
"CL=F",2012-03-09,107.400002
"MXN=X",2012-03-09,12.636
"CL=F",2012-03-11,NA
"CL=F",2012-03-12,106.339996
"MXN=X",2012-03-12,12.651
"CL=F",2012-03-13,106.709999
"MXN=X",2012-03-13,12.546
"CL=F",2012-03-14,105.43
"MXN=X",2012-03-14,12.7248
"CL=F",2012-03-15,105.110001
"MXN=X",2012-03-15,12.6559
"CL=F",2012-03-16,107.059998
"MXN=X",2012-03-16,12.6564
"CL=F",2012-03-18,NA
"CL=F",2012-03-19,108.089996
"MXN=X",2012-03-19,12.6348
"CL=F",2012-03-20,105.610001
"MXN=X",2012-03-20,12.656
"CL=F",2012-03-21,107.269997
"MXN=X",2012-03-21,12.7115
"CL=F",2012-03-22,105.349998
"MXN=X",2012-03-22,12.8071
"CL=F",2012-03-23,106.870003
"MXN=X",2012-03-23,12.7352
"CL=F",2012-03-25,NA
"CL=F",2012-03-26,107.029999
"MXN=X",2012-03-26,12.6528
"CL=F",2012-03-27,107.330002
"MXN=X",2012-03-27,12.705
"CL=F",2012-03-28,105.410004
"MXN=X",2012-03-28,12.7509
"CL=F",2012-03-29,102.779999
"MXN=X",2012-03-29,12.7905
"CL=F",2012-03-30,103.019997
"MXN=X",2012-03-30,12.7977
"CL=F",2012-04-01,NA
"CL=F",2012-04-02,105.230003
"MXN=X",2012-04-02,12.72
"CL=F",2012-04-03,104.010002
"MXN=X",2012-04-03,12.764
"CL=F",2012-04-04,101.470001
"MXN=X",2012-04-04,12.782
"CL=F",2012-04-05,103.309998
"MXN=X",2012-04-05,12.8679
"MXN=X",2012-04-06,12.9739
"CL=F",2012-04-08,NA
"CL=F",2012-04-09,102.459999
"MXN=X",2012-04-09,12.969
"CL=F",2012-04-10,101.019997
"MXN=X",2012-04-10,13.1474
"CL=F",2012-04-11,102.699997
"MXN=X",2012-04-11,13.152
"CL=F",2012-04-12,103.639999
"MXN=X",2012-04-12,13.027
"CL=F",2012-04-13,102.830002
"MXN=X",2012-04-13,13.17
"CL=F",2012-04-15,NA
"CL=F",2012-04-16,102.93
"MXN=X",2012-04-16,13.211
"CL=F",2012-04-17,104.199997
"MXN=X",2012-04-17,13.0961
"CL=F",2012-04-18,102.669998
"MXN=X",2012-04-18,13.1838
"CL=F",2012-04-19,102.269997
"MXN=X",2012-04-19,13.2009
"CL=F",2012-04-20,103.050003
"MXN=X",2012-04-20,13.0976
"CL=F",2012-04-22,NA
"CL=F",2012-04-23,103.110001
"MXN=X",2012-04-23,13.1755
"CL=F",2012-04-24,103.550003
"MXN=X",2012-04-24,13.148
"CL=F",2012-04-25,104.120003
"MXN=X",2012-04-25,13.1485
"CL=F",2012-04-26,104.550003
"MXN=X",2012-04-26,13.2048
"CL=F",2012-04-27,104.93
"MXN=X",2012-04-27,12.961
"CL=F",2012-04-29,NA
"CL=F",2012-04-30,104.870003
"MXN=X",2012-04-30,12.9624
"CL=F",2012-05-01,106.160004
"MXN=X",2012-05-01,12.905
"CL=F",2012-05-02,105.220001
"MXN=X",2012-05-02,12.929
"CL=F",2012-05-03,102.540001
"MXN=X",2012-05-03,12.9929
"CL=F",2012-05-04,98.489998
"MXN=X",2012-05-04,13.155
"CL=F",2012-05-06,NA
"CL=F",2012-05-07,97.940002
"MXN=X",2012-05-07,13.158
"CL=F",2012-05-08,97.010002
"MXN=X",2012-05-08,13.36
"CL=F",2012-05-09,96.809998
"MXN=X",2012-05-09,13.5225
"CL=F",2012-05-10,97.080002
"MXN=X",2012-05-10,13.5306
"CL=F",2012-05-11,96.129997
"MXN=X",2012-05-11,13.5643
"CL=F",2012-05-13,NA
"CL=F",2012-05-14,94.779999
"MXN=X",2012-05-14,13.7134
"CL=F",2012-05-15,93.980003
"MXN=X",2012-05-15,13.8396
"CL=F",2012-05-16,92.809998
"MXN=X",2012-05-16,13.754
"CL=F",2012-05-17,92.559998
"MXN=X",2012-05-17,13.828
"CL=F",2012-05-18,91.480003
"MXN=X",2012-05-18,13.8005
"CL=F",2012-05-20,NA
"CL=F",2012-05-21,92.57
"MXN=X",2012-05-21,13.6914
